"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"SourceSink"	"Env"
"SRR1761664"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761665"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761666"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761667"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761668"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761669"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761670"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761671"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761672"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR1761673"	"NA"	"NA"	"obregontito2015"	"source"	"gut"
"SRR3184100"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR3184876"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR3189411"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR3189416"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR3189418"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRS013950"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS014107"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS014477"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS014691"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS015064"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS019029"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS019129"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"SRS051244"	"NA"	"NA"	"hmp2013"	"source"	"plaque"
"SRS051378"	"NA"	"NA"	"hmp2014"	"source"	"plaque"
"SRS051930"	"NA"	"NA"	"hmp2015"	"source"	"plaque"
"SRS051941"	"NA"	"NA"	"hmp2016"	"source"	"plaque"
"SRS052604"	"NA"	"NA"	"hmp2017"	"source"	"plaque"
"SRS052876"	"NA"	"NA"	"hmp2018"	"source"	"plaque"
"SRS053584"	"NA"	"NA"	"hmp2019"	"source"	"plaque"
"SRS053630"	"NA"	"NA"	"hmp2020"	"source"	"plaque"
"SRS053917"	"NA"	"NA"	"hmp2021"	"source"	"plaque"
"SRS054653"	"NA"	"NA"	"hmp2022"	"source"	"plaque"
"SRS063215"	"NA"	"NA"	"hmp2012"	"source"	"plaque"
"VLC001.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLC002.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLC004.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLC005.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLC008.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLC009.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLC010.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"VLD001.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"VLD001.A0102.SG1.2_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"VLC003.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"BAN001.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"BAN001.A0102.SG1.4_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM019.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM019.A0102.SG1.4_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM020.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM020.A0102.SG1.4_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM002.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM002.A0102.SG1.5_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM003.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM003.A0102.SG1.4_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GDN001.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GDN001.A0102.SG1.3_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY005.A0101.SG1.2_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY005.A0103.SG1.4_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY006.A0101.SG1.2_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY006.A0102.SG1.5_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"PES001.B0101.SG1.3_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"PES001.B0102.SG1.5_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"VLD001.A0101.SG1.1_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"VLD001.A0102.SG1.2_5M_under50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"BAN001.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"BAN001.A0102.SG1.4_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM019.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM019.A0102.SG1.4_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM020.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM020.A0102.SG1.4_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM002.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM002.A0102.SG1.5_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM003.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM003.A0102.SG1.4_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GDN001.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GDN001.A0102.SG1.3_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY005.A0101.SG1.2_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY005.A0103.SG1.4_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY006.A0101.SG1.2_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY006.A0102.SG1.5_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"PES001.B0101.SG1.3_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"PES001.B0102.SG1.5_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"VLD001.A0101.SG1.1_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"VLD001.A0102.SG1.2_5M_over50bp"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
